actual_num_steps,trace_count,correct_count,eligible_correct_count,status,selection_mode,selected_trace_count,drop_reason
1,135,16,0,dropped,,0,below_min_nldd_length
2,156,24,0,dropped,,0,below_min_nldd_length
3,277,53,53,kept,all_available,53,
4,248,41,41,kept,all_available,41,
5,236,47,47,kept,all_available,47,
6,227,38,38,kept,all_available,38,
7,154,41,41,kept,all_available,41,
8,140,32,32,kept,all_available,32,
9,130,36,36,kept,all_available,36,
10,95,19,19,dropped,,0,below_min_cell_size
11,87,29,29,dropped,,0,below_min_cell_size
12,174,59,59,kept,all_available,59,
13,58,17,17,dropped,,0,below_min_cell_size
14,53,18,18,dropped,,0,below_min_cell_size
15,31,10,10,dropped,,0,below_min_cell_size
16,29,11,11,dropped,,0,below_min_cell_size
17,23,4,4,dropped,,0,below_min_cell_size
18,20,5,5,dropped,,0,below_min_cell_size
19,12,3,3,dropped,,0,below_min_cell_size
20,13,4,4,dropped,,0,below_min_cell_size
21,3,1,1,dropped,,0,below_min_cell_size
22,8,3,3,dropped,,0,below_min_cell_size
23,2,0,0,dropped,,0,below_min_cell_size
24,5,0,0,dropped,,0,below_min_cell_size
25,10,2,2,dropped,,0,below_min_cell_size
26,1,1,1,dropped,,0,below_min_cell_size
27,2,0,0,dropped,,0,below_min_cell_size
28,2,0,0,dropped,,0,below_min_cell_size
29,1,0,0,dropped,,0,below_min_cell_size
30,3,0,0,dropped,,0,below_min_cell_size
31,1,0,0,dropped,,0,below_min_cell_size
32,1,0,0,dropped,,0,below_min_cell_size
33,1,0,0,dropped,,0,below_min_cell_size
34,1,1,1,dropped,,0,below_min_cell_size
37,1,0,0,dropped,,0,below_min_cell_size
63,1,0,0,dropped,,0,below_min_cell_size
